job_title,company_name,city,fully_anonymous,posting_date_parsed,days_since_posted,primary_category,job_domain,job_domain_group,career_level,years_exp_min,years_exp_max,education_level,contract_type,workplace_mode,is_full_time,is_part_time,is_freelance,is_remote,is_hybrid,is_onsite,salary_disclosed,sal_min,sal_max,sal_min_egp,sal_max_egp,currency,pay_period,technical_skills,soft_skills,skill_count,job_categories
BI Engineer - SQL / PYTHON,RISEUP (Endemag for Administrative Skills Development),Cairo,False,2026-04-16 00:00:00,3,IT/Software,Analyst/Research,Data/Analytics,Experienced (Non-Manager),5,5,Bachelor's Degree,Full Time,Hybrid,True,False,False,False,True,False,False,,,,,,,"['Business Intelligence, Information Technology (It), Python, Sql, Etl, Data Science']",,6,IT/Software Development | Analyst/Research | Engineering - Telecom/Technology
Porject manager,Confidential,Alexandria,True,2026-04-16 00:00:00,3,IT/Software,Pure IT,Core IT,Manager,3,10,Bachelor's Degree,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Project Management, Project Coordination, Scrum, Certified Scrummaster, Client Support, Client Service']",,6,IT/Software Development
Senior Security Engineer / Security Team Lead,Anzemah,Giza,False,2026-04-16 00:00:00,3,Installation/Maintenance/Repair,Installation/Maintenance/Repair,Field/Support IT,Manager,5,15,No Degree Requirement Listed,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Information Technology (It), Computer Engineering, Security, Fortinet Firewall, Firewall Administration, Ips, Ipsec, Siem, Data Security, Pci, Iso 27001, Vulnerability Scanning, Endpoint Security']",,13,Installation/Maintenance/Repair | IT/Software Development | Engineering - Telecom/Technology
Senior Oracle Developer (E-Business Suite),Akhnaton Trading and distribution - EVA Group Limted,Cairo,False,2026-04-16 00:00:00,3,IT/Software,Pure IT,Core IT,Experienced (Non-Manager),2,4,Bachelor's Degree,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Pl/Sql, Oracle E-Business Suite, Oracle Reports, Oracle Forms, Oracle Workflow, Sql, Troubleshooting, Oracle, Computer Engineering, Information Technology (It)']",,10,IT/Software Development | Engineering - Telecom/Technology
Digital Forensics Examining Lead,ITIDA,Giza,False,2026-04-16 00:00:00,3,IT/Software,Pure IT,Core IT,Experienced (Non-Manager),7,10,Bachelor's Degree,Full Time,Hybrid,True,False,False,False,True,False,False,,,,,,,"['Digital Forensics, Cybersecurity Investigations, Cissp, Digital Evidence']",,4,IT/Software Development | Engineering - Telecom/Technology | Engineering - Other
"IT Business Analyst ""Banking""",Efada Technology,Cairo,False,2026-04-16 00:00:00,3,Banking,Banking,Other IT,Experienced (Non-Manager),4,4,Bachelor's Degree,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Business Analytics, Banking, Finance, Cms, Payment Solutions, Payments']",,6,Banking | IT/Software Development | Analyst/Research
Junior .Net Developer (Backend/Integration),Confidential,Giza,True,2026-04-16 00:00:00,3,IT/Software,Pure IT,Core IT,Entry Level (Junior Level / Fresh Grad),1,2,No Degree Requirement Listed,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['.Net, Information Technology (It), Software Development']",,3,IT/Software Development
Data Analyst,Zinox&Master,Cairo,False,2026-04-16 00:00:00,3,IT/Software,Analyst/Research,Data/Analytics,Experienced (Non-Manager),2,3,Bachelor's Degree,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Analysis, Information Technology (It), Data Analysis, Power Bi, Tableau, Python']",,6,IT/Software Development | Analyst/Research | Engineering - Telecom/Technology
IT Section Head,National Glass,Sharqia,False,2026-04-16 00:00:00,3,IT/Software,Pure IT,Core IT,Manager,5,10,Bachelor's Degree,Full Time,On-site,True,False,False,False,False,True,True,20000.0,30000.0,20000.0,30000.0,EGP,Month,"['Microsoft Office, Team Leadership, It Infrastructure Management, Software Development Life Cycle (Sdlc), Strategic It Planning, Budget Management, Vendor Management, It Security']","Project Management, Problem Solving, Communication Skills",8,IT/Software Development
Mid Data Engineer,Vertex Technologies,Cairo,False,2026-04-15 00:00:00,4,IT/Software,Pure IT,Core IT,Experienced (Non-Manager),2,2,Bachelor's Degree,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Data Engineering, Python, Scala, Databricks, Snowflake, Sql, Relational Databases, Cloud Platforms (Aws, Azure, Gcp)']",,10,IT/Software Development
Senior Data Engineer,Vertex Technologies,Cairo,False,2026-04-15 00:00:00,4,IT/Software,Pure IT,Core IT,Experienced (Non-Manager),4,4,Bachelor's Degree,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Data Engineering, Python, Scala, Databricks, Sql, Dimensional Modeling, Oltp/Olap, Cloud Platforms (Aws, Azure, Gcp)']",,10,IT/Software Development
IT Specialist,Egypt Africa,Cairo,False,2026-04-15 00:00:00,4,Installation/Maintenance/Repair,Installation/Maintenance/Repair,Field/Support IT,Experienced (Non-Manager),2,4,Bachelor's Degree,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Computer Science, Information Technology (It), Technical Support, Microsoft Office']",,4,Installation/Maintenance/Repair | IT/Software Development
IT Support Officer,Enterprise Consultancy Services - ECS,Cairo,False,2026-04-15 00:00:00,4,Installation/Maintenance/Repair,Installation/Maintenance/Repair,Field/Support IT,Experienced (Non-Manager),3,5,No Degree Requirement Listed,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['It Service Management, Hardware Support, Network Administration, Network Security, Local Area Network, Computer Maintenance, Laptop Maintenance, Software Maintenance, Hardware Troubleshooting, Network Hardware, Cloud, Windows And Mac Os Support, Technical Troubleshooting, Ticketing Systems, It Security Awareness, Hardware Maintenance, Problem-Solving, Customer Service']",Communication,18,Installation/Maintenance/Repair | IT/Software Development | Engineering - Other
Junior ERP Implementer,Enterprise Consultancy Services - ECS,Cairo,False,2026-04-15 00:00:00,4,IT/Software,Pure IT,Core IT,Entry Level (Junior Level / Fresh Grad),0,5,Bachelor's Degree,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Sap, Erp, Erp Implementation, It Service Management, Erp System, Erp Software, Erp Applications']",,7,IT/Software Development | Engineering - Telecom/Technology
Information Technology Service Desk Specialist,Shiny White Dental Center,Cairo,False,2026-04-15 00:00:00,4,IT/Software,Pure IT,Core IT,Entry Level (Junior Level / Fresh Grad),1,1,Bachelor's Degree,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Computer Science, Help Desk, Erp, Lan, Information Technology (It), Network, Tcp/Ip, Wan, Tcp, It Help Desk, Networking, Communication']",Customer Service,12,IT/Software Development | Engineering - Telecom/Technology
System Administrator,Premium Card,Giza,False,2026-04-15 00:00:00,4,IT/Software,Pure IT,Core IT,Entry Level (Junior Level / Fresh Grad),1,3,Bachelor's Degree,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Information Technology (It), System Administration, System Administrator']",,3,IT/Software Development
Marketing & Business Development Team Lead,Codezone,Alexandria,False,2026-04-14 00:00:00,5,Business,Business Development,IT Sales,Manager,5,10,Bachelor's Degree,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Marketing, Business Development, Digital Marketing, Marketing Strategy, Business Development Management']",,5,Business Development | IT/Software Development | Marketing/PR/Advertising
IT Specialist,Confidential,Cairo,True,2026-04-14 00:00:00,5,IT/Software,Pure IT,Core IT,Experienced (Non-Manager),2,3,Bachelor's Degree,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Computer Science, Information Technology (It), Technical Support']",,3,IT/Software Development | Engineering - Telecom/Technology
Software Engineer (Technical Content),"CC Global Group, LLC",Cairo,False,2026-04-14 00:00:00,5,Writing/Editorial,Writing/Editorial,Other IT,Entry Level (Junior Level / Fresh Grad),,,Bachelor's Degree,Full Time,Fully Remote,True,False,False,True,False,False,True,30000.0,40000.0,30000.0,40000.0,EGP,Month,"['Technical Writing, Content Development, Programming (Python, Javascript, Etc.), Machine Learning, Artificial Intelligence (Ai)']",,7,Writing/Editorial | IT/Software Development
ServiceNow Developer,Confidential,Cairo,True,2026-04-14 00:00:00,5,IT/Software,Pure IT,Core IT,Entry Level (Junior Level / Fresh Grad),0,2,No Degree Requirement Listed,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Javascript, Servicenow']",,2,IT/Software Development
Full Stack JS Developer,Vertex Technologies,Cairo,False,2026-04-13 00:00:00,6,IT/Software,Pure IT,Core IT,Experienced (Non-Manager),3,3,Bachelor's Degree,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Node.Js, English B2, Javascript, Express/Koa, Aws Mongoose, Serverless, Lambda Functions, Nestjs, Databases, Scrum/Kanban, Unit Tests']",,11,IT/Software Development | Engineering - Telecom/Technology
Tech lead,TUBA,Giza,False,2026-04-13 00:00:00,6,IT/Software,Pure IT,Core IT,Manager,5,7,Bachelor's Degree,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Information Technology (It), Javascript, Software Development']",,3,IT/Software Development | Engineering - Telecom/Technology
IT System Specialist,Tulipe,Giza,False,2026-04-12 00:00:00,7,Installation/Maintenance/Repair,Installation/Maintenance/Repair,Field/Support IT,Experienced (Non-Manager),2,8,No Degree Requirement Listed,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['System Administration, It Security, Network Management, Technical Support, Backup And Recovery']",,5,Installation/Maintenance/Repair | IT/Software Development | Engineering - Telecom/Technology
Odoo Implementer,Confidential,Cairo,True,2026-04-12 00:00:00,7,IT/Software,Sales/Retail,IT Sales,Experienced (Non-Manager),4,4,Bachelor's Degree,Part Time,Hybrid,False,True,True,False,True,False,False,,,,,,,"['Odoo Erp, Odoo, Client Training, Odoo Erp Implementation, System Configuration, Requirements Gathering, Remote Collaboration, Business Analysis, Process Optimization, Odoo Development, Erp, Information Technology (It), Retail']","Problem Solving, Communication, Project Management, Sales",13,IT/Software Development | Sales/Retail
Instructional Designer,Thaka International,Cairo,False,2026-04-12 00:00:00,7,Creative/Design/Art,Creative/Design/Art,Design/UX,Experienced (Non-Manager),4,10,Bachelor's Degree,Full Time,Hybrid,True,False,False,False,True,False,False,,,,,,,"['E-Learning Development, Instructional Design, Collaboration, Creative']",Communication,4,Creative/Design/Art | IT/Software Development | Education/Teaching
Project Manager,Confidential,Cairo,True,2026-04-12 00:00:00,7,IT/Software,Project/Program Management,IT Management,Manager,7,10,No Degree Requirement Listed,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Project Management, Projects, Information Technology (It)']",,3,IT/Software Development | Project/Program Management
Full Stack Developer,IMBoX,Cairo,False,2026-04-12 00:00:00,7,IT/Software,Pure IT,Core IT,Experienced (Non-Manager),3,7,Bachelor's Degree,Part Time,Hybrid,False,True,True,False,True,False,False,,,,,,,"['Flutter, Python, Cross-Platform Development, Rest Api, Cloud Computing, Embedded Systems, Iot, C/C++, Backend Development, Full Stack Development, Mobile App Development, Front End Development, Javascript, Database Management, Git, Information Technology (It), Linux']",,17,IT/Software Development | Engineering - Telecom/Technology | Engineering - Other
Information Technology Infrastructure Operations Section Head,K Line Europe,Cairo,False,2026-04-10 00:00:00,9,Installation/Maintenance/Repair,Installation/Maintenance/Repair,Field/Support IT,Manager,7,10,No Degree Requirement Listed,Full Time,Fully Remote,True,False,False,True,False,False,False,,,,,,,"['Aws, Cloud, Information Technology (It), Network']",,4,Installation/Maintenance/Repair | IT/Software Development | Engineering - Telecom/Technology
Senior NetSuite Developer,Bluebell Pharmaceuticals,Cairo,False,2026-04-10 00:00:00,9,Business,Business Development,IT Sales,Experienced (Non-Manager),3,5,No Degree Requirement Listed,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Computer Science, Information Technology (It), Netsuite, Sql, Javascript, Css, Xml, Sdk, Html, Suitescript 2.X']",,10,Business Development | IT/Software Development | Engineering - Telecom/Technology
Software Engineering .Net Teamleader,IntComp Tech Intelligence,Cairo,False,2026-04-10 00:00:00,9,IT/Software,Pure IT,Core IT,Experienced (Non-Manager),5,10,No Degree Requirement Listed,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Agile, Azure, .Net, Azure Devops Server, Devops, Microservices, Rancher, Team Leadership, Solution Architecture, Ci/Cd, Cloud Platforms, Agile Methodologies, Mentorship, Strategic Planning, Problem Solving']",,15,IT/Software Development
Application support Engineer,EAST,Cairo,False,2026-04-09 00:00:00,10,IT/Software,Pure IT,Core IT,Entry Level (Junior Level / Fresh Grad),2,5,No Degree Requirement Listed,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Dynamics Ax 2012, Microsoft Office 365, Application Support']",,3,IT/Software Development
Mid Automation QA Engineer,Vertex Technologies,Cairo,False,2026-04-09 00:00:00,10,IT/Software,Quality,QA/Testing,Experienced (Non-Manager),2,2,Bachelor's Degree,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Test Automation, Selenium, Cypress, Ci/Cd, Api Testing, Agile Methodologies, Bug Tracking, Quality Assurance']",,8,IT/Software Development | Quality
Junior Automation QA Engineer,Vertex Technologies,Cairo,False,2026-04-09 00:00:00,10,IT/Software,Quality,QA/Testing,Entry Level (Junior Level / Fresh Grad),1,1,Bachelor's Degree,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Automation Testing, Agile Methodologies, Sdlc, Software Quality Assurance, Team Collaboration']",Problem Solving,5,IT/Software Development | Quality
Trainee Automation QA engineer,Vertex Technologies,Cairo,False,2026-04-09 00:00:00,10,IT/Software,Quality,QA/Testing,Entry Level (Junior Level / Fresh Grad),0,2,Bachelor's Degree,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Quality Assurance, Test Automation, Selenium, Software Testing, Bug Tracking, Analytical Thinking, Agile Methodologies, Manual Testing, Automation Testing, Python, Java, English B2']",,12,IT/Software Development | Quality
ERP Demand Specialist,Ibn Sina Pharma,Cairo,False,2026-04-09 00:00:00,10,IT/Software,Sales/Retail,IT Sales,Experienced (Non-Manager),3,5,No Degree Requirement Listed,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Computer Science, Erp, Information Technology (It), Purchasing, Erp Systems, Demand Planning, Supply Chain Management, Business Analysis, System Implementation, Data Analysis, Vendor Management, Problem-Solving, Communication']",Project Management,13,IT/Software Development | Sales/Retail | Engineering - Telecom/Technology
Backend Developer,Charisma Design,Cairo,False,2026-04-09 00:00:00,10,Creative/Design/Art,Creative/Design/Art,Design/UX,Experienced (Non-Manager),2,5,No Degree Requirement Listed,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Agile, Api, Information Technology (It), Php, Laravel, Software Development']",,6,Creative/Design/Art | IT/Software Development | Engineering - Telecom/Technology
Product Manager,3D Diagnostix,Cairo,False,2026-04-09 00:00:00,10,IT/Software,Project/Program Management,IT Management,Manager,3,6,Bachelor's Degree,Full Time,Hybrid,True,False,False,False,True,False,False,,,,,,,"['Information Technology (It), Product Management, Product Owner, Agile, Product, Product Manager, Product Knowledge, Product Development, Integration, Kanban, Product Ownership, Product Lifecycle Management, Market Research, Stakeholder Management, Agile Methodologies, Strategic Planning, Data Analysis, Cross-Functional Collaboration, Healthcare Technology, Problem Solving']","Project Management, Communication",20,IT/Software Development | Project/Program Management | Engineering - Telecom/Technology
IT Assistant Manager - Dynamics 365 Finance & Operations (Retail),Circle K,Cairo,False,2026-04-09 00:00:00,10,IT/Software,Sales/Retail,IT Sales,Experienced (Non-Manager),4,8,Bachelor's Degree,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Information Technology (It), Retail, Dynamics 365, Erp, Finance, Sql, Microsoft Dynamics']",,7,IT/Software Development | Sales/Retail
IT Infrastructure Specialist,IGI-Group,Giza,False,2026-04-09 00:00:00,10,Installation/Maintenance/Repair,Installation/Maintenance/Repair,Field/Support IT,Experienced (Non-Manager),2,2,Bachelor's Degree,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Computer Engineering, Information Technology (It), Infrastructure As A Service, Network Infrastructure, Infrastructure Engineering']",,5,Installation/Maintenance/Repair | IT/Software Development | Engineering - Telecom/Technology
AI Engineer,Confidential,Cairo,True,2026-04-09 00:00:00,10,Business,Business Development,IT Sales,Experienced (Non-Manager),2,3,No Degree Requirement Listed,Full Time,Hybrid,True,True,True,False,True,False,False,,,,,,,"['Algorithms, Information Technology (It), Python, Automation Engineering, Workflow Architect, Business Process Ai, Machine Learning, Deep Learning, Data Science, Cloud Platforms, Mlops, System Design, Data Structures']","Problem Solving, Project Management, Communication",13,Business Development | IT/Software Development | Engineering - Telecom/Technology
Product Owner / Business Analysis - Fresh Graduate - Alexandria,Alexandria For Programming,Alexandria,False,2026-04-09 00:00:00,10,IT/Software,Analyst/Research,Data/Analytics,Entry Level (Junior Level / Fresh Grad),0,1,No Degree Requirement Listed,Full Time,On-site,True,False,False,False,False,True,True,10000.0,10000.0,10000.0,10000.0,EGP,Month,"['Agile, Business Analysis, Analysis, User Story, Scrum, Requirements Gathering, Stakeholder Management, Problem-Solving, Data Analysis, Software Development Life Cycle (Sdlc), Jira']",Communication,11,IT/Software Development | Analyst/Research | Engineering - Telecom/Technology
Senior Java Developer,National technology group,Giza,False,2026-04-08 00:00:00,11,IT/Software,Pure IT,Core IT,Experienced (Non-Manager),3,5,Bachelor's Degree,Full Time,Hybrid,True,False,False,False,True,False,False,,,,,,,"['Angular, Spring Boot, Java, Mysql, Sql, Git, Information Technology (It), Software Engineering']",,8,IT/Software Development | Engineering - Telecom/Technology
Technical Support Engineer,Safa Soft,Cairo,False,2026-04-08 00:00:00,11,IT/Software,Pure IT,Core IT,Entry Level (Junior Level / Fresh Grad),0,1,No Degree Requirement Listed,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Customer Service, Technical Support, Software Development']",Problem Solving,3,IT/Software Development
UI UX Designer,Flojics,Alexandria,False,2026-04-08 00:00:00,11,Creative/Design/Art,Creative/Design/Art,Design/UX,Experienced (Non-Manager),4,8,No Degree Requirement Listed,Full Time,Fully Remote,True,False,False,True,False,False,False,,,,,,,"['Graphic Design, Websites Design, Application Design']",,3,Creative/Design/Art | IT/Software Development | Engineering - Telecom/Technology
IT Specialist,National Pipe Company,Cairo,False,2026-04-08 00:00:00,11,IT/Software,Pure IT,Core IT,Entry Level (Junior Level / Fresh Grad),1,3,No Degree Requirement Listed,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Information Technology (It), It Service Management']",,2,IT/Software Development | Engineering - Telecom/Technology
Splunk Administrator Engineer,Digital cloud for Technology and cybersecurity,Cairo,False,2026-04-08 00:00:00,11,Administration,Administration,Other IT,Experienced (Non-Manager),2,7,Bachelor's Degree,Full Time,Hybrid,True,False,False,False,True,False,True,17000.0,60000.0,17000.0,60000.0,EGP,Month,"['Soc Analyst L2, Cybersecurity, Siem, Splunk, Log Management, Data Analysis, Incident Response, Network Security, Scripting (Python/Bash), Troubleshooting, Infrastructure Management, Problem Solving']",,12,Administration | IT/Software Development | Engineering - Telecom/Technology
Senior DevOps Engineer,AZM Squad,Cairo,False,2026-04-08 00:00:00,11,IT/Software,Pure IT,Core IT,Experienced (Non-Manager),5,7,Bachelor's Degree,Full Time,Fully Remote,True,False,False,True,False,False,False,,,,,,,"['Computer Science, Devops, Information Technology (It), Github, Aws, Cloud, Jenkins, Kubernetes']",,8,IT/Software Development
IT Systems & Network Administrator,The Egyptian Co. for Electrical Industries,Cairo,False,2026-04-08 00:00:00,11,Installation/Maintenance/Repair,Installation/Maintenance/Repair,Field/Support IT,Experienced (Non-Manager),5,10,No Degree Requirement Listed,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Information Technology (It), System Administration, Network, Technical Support']",,4,Installation/Maintenance/Repair | IT/Software Development | Engineering - Other
Maintenance Engineer - Mobiles,Raya Distribution,Aswan,False,2026-04-08 00:00:00,11,Installation/Maintenance/Repair,Installation/Maintenance/Repair,Field/Support IT,Entry Level (Junior Level / Fresh Grad),1,2,Bachelor's Degree,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Hardware Repair, Problem-Solving, Repairs, Maintanance, Team Leadership']","Time Management, Customer Service, Presentation",5,Installation/Maintenance/Repair | IT/Software Development
Application Support Engineer,etisal for advanced industries,Giza,False,2026-04-08 00:00:00,11,IT/Software,Pure IT,Core IT,Entry Level (Junior Level / Fresh Grad),1,3,Bachelor's Degree,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Computer Science, Application Support, Information Technology (It)']",,3,IT/Software Development
IT Automation Engagement Manager/Delivery Manager,eBSEG,Cairo,False,2026-04-08 00:00:00,11,Banking,Banking,Other IT,Manager,7,10,No Degree Requirement Listed,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['It Projects Delivery, Business Analysis, Solution Management Roles, Automation, Information Technology (It), Crm, Bpm']",,7,Banking | IT/Software Development | Analyst/Research
CMS Setup Implementation Engineer,Efada Technology,Cairo,False,2026-04-08 00:00:00,11,Accounting/Finance,Accounting/Finance,IT Finance/ERP,Experienced (Non-Manager),2,2,Bachelor's Degree,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Cms, Card Management System, Cards Implementation, Cms Implementation, Pl/Sql, Oracle, Crystal Reports, Ms Office, Technical Support, Documentation, Presentations, Banking Services, Cards Services']",,13,Accounting/Finance | IT/Software Development
Senior ServiceNow Developer,AZM Squad,Cairo,False,2026-04-08 00:00:00,11,IT/Software,Pure IT,Core IT,Experienced (Non-Manager),4,7,No Degree Requirement Listed,Full Time,Fully Remote,True,False,False,True,False,False,False,,,,,,,"['Servicenow, Information Technology (It), Software Engineering']",,3,IT/Software Development
Python Developer,Confidential,Cairo,True,2026-04-08 00:00:00,11,IT/Software,Pure IT,Core IT,Experienced (Non-Manager),3,7,Bachelor's Degree,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Python, Devops, Database, Nosql, Sql, Tensorflow']",,6,IT/Software Development
